experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:41.434Z,1783799621434,-116,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:41.465Z,1783799621465,-168,first_a_sqs_sent_timestamp,158,10,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:42.442Z,1783799622442,892,first_a_sqs_sent_timestamp,167,5,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:42.47Z,1783799622470,837,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:43.438Z,1783799623438,1888,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:43.465Z,1783799623465,1832,first_a_sqs_sent_timestamp,3731,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:44.45Z,1783799624450,2900,first_a_sqs_sent_timestamp,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:44.481Z,1783799624481,2848,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:45.449Z,1783799625449,3899,first_a_sqs_sent_timestamp,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:45.475Z,1783799625475,3842,first_a_sqs_sent_timestamp,12744,29,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:46.429Z,1783799626429,4879,first_a_sqs_sent_timestamp,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:46.456Z,1783799626456,4823,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:47.483Z,1783799627483,5933,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:47.567Z,1783799627567,5934,first_a_sqs_sent_timestamp,23409,39,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:48.467Z,1783799628467,6917,first_a_sqs_sent_timestamp,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:48.532Z,1783799628532,6899,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:49.433Z,1783799629433,7883,first_a_sqs_sent_timestamp,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:49.461Z,1783799629461,7828,first_a_sqs_sent_timestamp,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:50.434Z,1783799630434,8884,first_a_sqs_sent_timestamp,3679,88,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:50.465Z,1783799630465,8832,first_a_sqs_sent_timestamp,3731,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:51.434Z,1783799631434,9884,first_a_sqs_sent_timestamp,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:51.465Z,1783799631465,9832,first_a_sqs_sent_timestamp,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:52.431Z,1783799632431,10881,first_a_sqs_sent_timestamp,23440,79,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:52.461Z,1783799632461,10828,first_a_sqs_sent_timestamp,0,20,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:53.435Z,1783799633435,11885,first_a_sqs_sent_timestamp,0,21,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:53.464Z,1783799633464,11831,first_a_sqs_sent_timestamp,29800,76,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:54.435Z,1783799634435,12885,first_a_sqs_sent_timestamp,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:54.484Z,1783799634484,12851,first_a_sqs_sent_timestamp,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:55.433Z,1783799635433,13883,first_a_sqs_sent_timestamp,29605,82,ok,
