experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:41.434664679Z,1783799621434,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:41.465321268Z,1783799621465,158,10,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:42.442072424Z,1783799622442,167,5,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:42.470581948Z,1783799622470,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:43.438117658Z,1783799623438,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:43.465983691Z,1783799623465,3731,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:44.450127778Z,1783799624450,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:44.481368922Z,1783799624481,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:45.449451822Z,1783799625449,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:45.475655203Z,1783799625475,12744,29,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:46.429485443Z,1783799626429,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:46.456895847Z,1783799626456,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:47.483940056Z,1783799627483,0,0,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:47.567598409Z,1783799627567,23409,39,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:48.467680771Z,1783799628467,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:48.532039971Z,1783799628532,0,0,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:49.433227101Z,1783799629433,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:49.461645093Z,1783799629461,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:50.434658375Z,1783799630434,3679,88,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:50.465604419Z,1783799630465,3731,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:51.434968915Z,1783799631434,16809,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:51.465476228Z,1783799631465,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:52.431636156Z,1783799632431,23440,79,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:52.461752152Z,1783799632461,0,20,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:53.435787467Z,1783799633435,0,21,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:53.464202421Z,1783799633464,29800,76,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:54.435028003Z,1783799634435,12454,38,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:54.484185171Z,1783799634484,28646,67,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:55.433063309Z,1783799635433,29605,82,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:55.462895996Z,1783799635462,25497,51,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:56.432129626Z,1783799636432,29743,86,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:56.462500889Z,1783799636462,29856,52,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:57.437845921Z,1783799637437,29716,76,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:57.468450632Z,1783799637468,29721,61,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:58.432055868Z,1783799638432,29527,99,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:58.462436075Z,1783799638462,23409,39,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:53:59.435814734Z,1783799639435,8094,88,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:53:59.464916264Z,1783799639464,29727,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:00.456339001Z,1783799640456,29606,84,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:00.483711332Z,1783799640483,29727,68,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:01.439499714Z,1783799641439,29514,99,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:01.467946558Z,1783799641467,29770,64,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:02.434288304Z,1783799642434,29657,95,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:02.46446208Z,1783799642464,29808,87,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:03.434273378Z,1783799643434,29531,114,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:03.463943617Z,1783799643463,29673,88,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:04.435197038Z,1783799644435,29426,88,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:04.464981183Z,1783799644464,29722,62,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:05.433566446Z,1783799645433,29291,86,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:05.465929687Z,1783799645465,12748,45,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:06.433557836Z,1783799646433,23444,94,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:06.463898552Z,1783799646463,29549,64,ok,
reaction-20260711T195313.408870065Z,baseline-c100,2026-07-11T19:54:07.433412969Z,1783799647433,29299,90,ok,
reaction-20260711T195313.408870065Z,fair-c100,2026-07-11T19:54:07.462050796Z,1783799647462,29496,76,ok,
