experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:36.609643614Z,1783799856609,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:36.753054615Z,1783799856753,0,0,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:37.608969335Z,1783799857608,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:37.6390445Z,1783799857639,0,4,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:38.609734182Z,1783799858609,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:38.637561734Z,1783799858637,0,0,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:39.611063001Z,1783799859611,2012,29,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:39.643020679Z,1783799859643,2480,10,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:40.610541472Z,1783799860610,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:40.64013831Z,1783799860640,2451,56,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:41.61112192Z,1783799861611,0,4,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:41.640827369Z,1783799861640,2451,52,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:42.609392815Z,1783799862609,2487,18,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:42.638773948Z,1783799862638,1244,59,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:43.608909022Z,1783799863608,4943,50,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:43.643417361Z,1783799863643,4930,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:44.61083527Z,1783799864610,2456,13,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:44.638815004Z,1783799864638,1267,65,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:45.6092058Z,1783799865609,4944,31,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:45.637879596Z,1783799865637,4933,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:46.610660903Z,1783799866610,4944,50,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:46.637167422Z,1783799866637,2451,52,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:47.608588936Z,1783799867608,2456,13,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:47.639616999Z,1783799867639,4934,28,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:48.608319138Z,1783799868608,4943,40,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:48.654652701Z,1783799868654,4935,28,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:49.609306535Z,1783799869609,4468,61,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:49.640851349Z,1783799869640,3727,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:50.611342053Z,1783799870611,4938,24,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:50.63909156Z,1783799870639,4938,34,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:51.608686835Z,1783799871608,4920,19,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:51.636294892Z,1783799871636,2480,10,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:52.610858823Z,1783799872610,2484,9,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:52.640741869Z,1783799872640,4902,18,ok,
