experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:36.609Z,1783799856609,-56,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:36.753Z,1783799856753,100,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:37.608Z,1783799857608,943,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:37.639Z,1783799857639,986,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:38.609Z,1783799858609,1944,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:38.637Z,1783799858637,1984,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:39.611Z,1783799859611,2946,first_a_sqs_sent_timestamp,2012,29,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:39.643Z,1783799859643,2990,first_a_sqs_sent_timestamp,2480,10,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:40.61Z,1783799860610,3945,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:40.64Z,1783799860640,3987,first_a_sqs_sent_timestamp,2451,56,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:41.611Z,1783799861611,4946,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:41.64Z,1783799861640,4987,first_a_sqs_sent_timestamp,2451,52,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:42.609Z,1783799862609,5944,first_a_sqs_sent_timestamp,2487,18,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:42.638Z,1783799862638,5985,first_a_sqs_sent_timestamp,1244,59,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:43.608Z,1783799863608,6943,first_a_sqs_sent_timestamp,4943,50,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:43.643Z,1783799863643,6990,first_a_sqs_sent_timestamp,4930,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:44.61Z,1783799864610,7945,first_a_sqs_sent_timestamp,2456,13,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:44.638Z,1783799864638,7985,first_a_sqs_sent_timestamp,1267,65,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:45.609Z,1783799865609,8944,first_a_sqs_sent_timestamp,4944,31,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:45.637Z,1783799865637,8984,first_a_sqs_sent_timestamp,4933,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:46.61Z,1783799866610,9945,first_a_sqs_sent_timestamp,4944,50,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:46.637Z,1783799866637,9984,first_a_sqs_sent_timestamp,2451,52,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:47.608Z,1783799867608,10943,first_a_sqs_sent_timestamp,2456,13,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:47.639Z,1783799867639,10986,first_a_sqs_sent_timestamp,4934,28,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:48.608Z,1783799868608,11943,first_a_sqs_sent_timestamp,4943,40,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:48.654Z,1783799868654,12001,first_a_sqs_sent_timestamp,4935,28,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:49.609Z,1783799869609,12944,first_a_sqs_sent_timestamp,4468,61,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:49.64Z,1783799869640,12987,first_a_sqs_sent_timestamp,3727,69,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:50.611Z,1783799870611,13946,first_a_sqs_sent_timestamp,4938,24,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:50.639Z,1783799870639,13986,first_a_sqs_sent_timestamp,4938,34,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:51.608Z,1783799871608,14943,first_a_sqs_sent_timestamp,4920,19,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:51.636Z,1783799871636,14983,first_a_sqs_sent_timestamp,2480,10,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:52.61Z,1783799872610,15945,first_a_sqs_sent_timestamp,2484,9,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:52.64Z,1783799872640,15987,first_a_sqs_sent_timestamp,4902,18,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:53.61Z,1783799873610,16945,first_a_sqs_sent_timestamp,4932,21,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:53.639Z,1783799873639,16986,first_a_sqs_sent_timestamp,4916,14,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:54.611Z,1783799874611,17946,first_a_sqs_sent_timestamp,4939,31,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:54.644Z,1783799874644,17991,first_a_sqs_sent_timestamp,4910,19,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:55.609Z,1783799875609,18944,first_a_sqs_sent_timestamp,4904,20,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:55.641Z,1783799875641,18988,first_a_sqs_sent_timestamp,4904,21,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:56.61Z,1783799876610,19945,first_a_sqs_sent_timestamp,4920,28,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:56.642Z,1783799876642,19989,first_a_sqs_sent_timestamp,4896,14,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:57.609Z,1783799877609,20944,first_a_sqs_sent_timestamp,2429,8,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:57.635Z,1783799877635,20982,first_a_sqs_sent_timestamp,4876,16,ok,
low-concurrency-20260711T195542.986124768Z,baseline-c20,2026-07-11T19:57:58.609Z,1783799878609,21944,first_a_sqs_sent_timestamp,4909,17,ok,
low-concurrency-20260711T195542.986124768Z,fair-c20,2026-07-11T19:57:58.635Z,1783799878635,21982,first_a_sqs_sent_timestamp,4922,30,ok,
