experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:46.14Z,1783790086140,19850,first_a_sqs_sent_timestamp,4882,20,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:46.167Z,1783790086167,20026,first_a_sqs_sent_timestamp,4921,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:47.136Z,1783790087136,20846,first_a_sqs_sent_timestamp,4916,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:47.164Z,1783790087164,21023,first_a_sqs_sent_timestamp,4891,19,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:48.142Z,1783790088142,21852,first_a_sqs_sent_timestamp,4910,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:48.17Z,1783790088170,22029,first_a_sqs_sent_timestamp,4905,21,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:49.143Z,1783790089143,22853,first_a_sqs_sent_timestamp,4866,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:49.173Z,1783790089173,23032,first_a_sqs_sent_timestamp,4914,15,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:50.138Z,1783790090138,23848,first_a_sqs_sent_timestamp,4923,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:50.163Z,1783790090163,24022,first_a_sqs_sent_timestamp,4880,14,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:51.137Z,1783790091137,24847,first_a_sqs_sent_timestamp,4964,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:51.165Z,1783790091165,25024,first_a_sqs_sent_timestamp,4936,22,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:52.137Z,1783790092137,25847,first_a_sqs_sent_timestamp,4902,21,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:52.163Z,1783790092163,26022,first_a_sqs_sent_timestamp,4860,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:53.138Z,1783790093138,26848,first_a_sqs_sent_timestamp,4867,13,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:53.163Z,1783790093163,27022,first_a_sqs_sent_timestamp,4891,21,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:54.141Z,1783790094141,27851,first_a_sqs_sent_timestamp,4866,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:54.166Z,1783790094166,28025,first_a_sqs_sent_timestamp,4868,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:55.136Z,1783790095136,28846,first_a_sqs_sent_timestamp,4845,13,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:55.164Z,1783790095164,29023,first_a_sqs_sent_timestamp,4860,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:56.14Z,1783790096140,29850,first_a_sqs_sent_timestamp,4826,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:56.171Z,1783790096171,30030,first_a_sqs_sent_timestamp,4830,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:57.137Z,1783790097137,30847,first_a_sqs_sent_timestamp,4838,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:57.163Z,1783790097163,31022,first_a_sqs_sent_timestamp,4828,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:58.136Z,1783790098136,31846,first_a_sqs_sent_timestamp,4851,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:58.164Z,1783790098164,32023,first_a_sqs_sent_timestamp,4920,20,ok,
