experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790066138,-152,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790066306,165,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790067140,850,first_a_sqs_sent_timestamp,16,35,0.457143,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790067172,1031,first_a_sqs_sent_timestamp,15,38,0.394737,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790068139,1849,first_a_sqs_sent_timestamp,16,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790068168,2027,first_a_sqs_sent_timestamp,8,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790069137,2847,first_a_sqs_sent_timestamp,12,19,0.631579,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790069164,3023,first_a_sqs_sent_timestamp,15,4,3.750000,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790070139,3849,first_a_sqs_sent_timestamp,16,35,0.457143,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790070164,4023,first_a_sqs_sent_timestamp,15,27,0.555556,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790071137,4847,first_a_sqs_sent_timestamp,17,19,0.894737,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790071162,5021,first_a_sqs_sent_timestamp,11,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790072140,5850,first_a_sqs_sent_timestamp,16,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790072166,6025,first_a_sqs_sent_timestamp,15,34,0.441176,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790073144,6854,first_a_sqs_sent_timestamp,14,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790073177,7036,first_a_sqs_sent_timestamp,17,27,0.629630,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790074138,7848,first_a_sqs_sent_timestamp,14,14,1.000000,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790074166,8025,first_a_sqs_sent_timestamp,15,13,1.153846,false,true,false,ok
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790075136,8846,first_a_sqs_sent_timestamp,14,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790075163,9022,first_a_sqs_sent_timestamp,8,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,baseline-c20,1783790076140,9850,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T171232.521874981Z,fair-c20,1783790076166,10025,first_a_sqs_sent_timestamp,14,27,0.518519,false,true,false,ok
