experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:34.301254637Z,1783691974301,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:34.439148742Z,1783691974439,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:35.299791304Z,1783691975299,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:35.32684705Z,1783691975326,0,21,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:36.296238467Z,1783691976296,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:36.320549121Z,1783691976320,4937,79,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:37.298160588Z,1783691977298,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:37.325676006Z,1783691977325,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:38.302914845Z,1783691978302,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:38.329612657Z,1783691978329,3692,76,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:39.302037469Z,1783691979302,3914,66,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:39.327156989Z,1783691979327,4937,79,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:40.298361571Z,1783691980298,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:40.326012551Z,1783691980326,4929,28,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:41.300357666Z,1783691981300,3914,66,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:41.327623959Z,1783691981327,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:42.29660976Z,1783691982296,4918,57,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:42.322839063Z,1783691982322,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:43.309390815Z,1783691983309,0,20,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:43.337364246Z,1783691983337,4929,28,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:44.303648995Z,1783691984303,4891,48,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:44.331240061Z,1783691984331,3692,76,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:45.297096174Z,1783691985297,4891,48,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:45.323044393Z,1783691985323,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:46.297068182Z,1783691986297,4781,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:46.322932924Z,1783691986322,4738,71,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:47.296608141Z,1783691987296,4781,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:47.321210218Z,1783691987321,4682,88,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:48.299317248Z,1783691988299,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:48.32587338Z,1783691988325,4738,71,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:49.303323444Z,1783691989303,4855,88,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:49.33730639Z,1783691989337,4807,87,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:50.298254135Z,1783691990298,4785,93,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:50.326537608Z,1783691990326,4741,73,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:51.29836045Z,1783691991298,4657,68,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:51.32703364Z,1783691991327,4751,85,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:52.301809074Z,1783691992301,4619,80,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:52.328749387Z,1783691992328,4788,63,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:53.300900969Z,1783691993300,4792,92,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:53.328356986Z,1783691993328,4473,79,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:54.299617947Z,1783691994299,4617,73,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:54.328052972Z,1783691994328,4498,94,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:55.333674523Z,1783691995333,4438,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:55.359725326Z,1783691995359,4471,83,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:56.300221682Z,1783691996300,4474,90,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:56.325750514Z,1783691996325,4500,85,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:57.302969299Z,1783691997302,4654,73,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:57.331237368Z,1783691997331,4682,90,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:58.299666901Z,1783691998299,4470,99,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:58.326450699Z,1783691998326,4471,81,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:59.298148561Z,1783691999298,4892,55,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:59.324286469Z,1783691999324,4938,88,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:00.301079216Z,1783692000301,0,11,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:00.332967733Z,1783692000332,4248,82,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:01.300914478Z,1783692001300,4228,94,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:01.330905215Z,1783692001330,4567,87,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:02.297303761Z,1783692002297,4228,95,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:02.323670699Z,1783692002323,4248,82,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:03.30123744Z,1783692003301,4470,102,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:03.32953344Z,1783692003329,4498,91,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:04.304036397Z,1783692004304,4257,97,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:04.39223495Z,1783692004392,4248,85,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:05.300700048Z,1783692005300,4594,87,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:05.328826313Z,1783692005328,4107,92,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:06.299584224Z,1783692006299,4060,85,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:06.338204069Z,1783692006338,4259,95,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:07.302162013Z,1783692007302,4334,95,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:07.329192866Z,1783692007329,4107,94,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:08.301507242Z,1783692008301,4228,95,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:08.33049179Z,1783692008330,4310,75,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:09.300531891Z,1783692009300,3961,88,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:09.328201449Z,1783692009328,4177,92,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:10.300159055Z,1783692010300,4128,84,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:10.327165252Z,1783692010327,3892,95,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:11.299633911Z,1783692011299,4059,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T14:00:11.326906025Z,1783692011326,4064,97,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T14:00:12.300378835Z,1783692012300,4094,92,ok,
