experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:34.301Z,1783691974301,-42,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:34.439Z,1783691974439,-28,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:35.299Z,1783691975299,956,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:35.326Z,1783691975326,859,first_a_sqs_sent_timestamp,0,21,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:36.296Z,1783691976296,1953,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:36.32Z,1783691976320,1853,first_a_sqs_sent_timestamp,4937,79,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:37.298Z,1783691977298,2955,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:37.325Z,1783691977325,2858,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:38.302Z,1783691978302,3959,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:38.329Z,1783691978329,3862,first_a_sqs_sent_timestamp,3692,76,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:39.302Z,1783691979302,4959,first_a_sqs_sent_timestamp,3914,66,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:39.327Z,1783691979327,4860,first_a_sqs_sent_timestamp,4937,79,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:40.298Z,1783691980298,5955,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:40.326Z,1783691980326,5859,first_a_sqs_sent_timestamp,4929,28,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:41.3Z,1783691981300,6957,first_a_sqs_sent_timestamp,3914,66,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:41.327Z,1783691981327,6860,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:42.296Z,1783691982296,7953,first_a_sqs_sent_timestamp,4918,57,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:42.322Z,1783691982322,7855,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:43.309Z,1783691983309,8966,first_a_sqs_sent_timestamp,0,20,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:43.337Z,1783691983337,8870,first_a_sqs_sent_timestamp,4929,28,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:44.303Z,1783691984303,9960,first_a_sqs_sent_timestamp,4891,48,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:44.331Z,1783691984331,9864,first_a_sqs_sent_timestamp,3692,76,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:45.297Z,1783691985297,10954,first_a_sqs_sent_timestamp,4891,48,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:45.323Z,1783691985323,10856,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:46.297Z,1783691986297,11954,first_a_sqs_sent_timestamp,4781,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:46.322Z,1783691986322,11855,first_a_sqs_sent_timestamp,4738,71,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:47.296Z,1783691987296,12953,first_a_sqs_sent_timestamp,4781,91,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:47.321Z,1783691987321,12854,first_a_sqs_sent_timestamp,4682,88,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:48.299Z,1783691988299,13956,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:48.325Z,1783691988325,13858,first_a_sqs_sent_timestamp,4738,71,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:49.303Z,1783691989303,14960,first_a_sqs_sent_timestamp,4855,88,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:49.337Z,1783691989337,14870,first_a_sqs_sent_timestamp,4807,87,ok,
reaction-20260710T135904.281368175Z,baseline-c100,2026-07-10T13:59:50.298Z,1783691990298,15955,first_a_sqs_sent_timestamp,4785,93,ok,
reaction-20260710T135904.281368175Z,fair-c100,2026-07-10T13:59:50.326Z,1783691990326,15859,first_a_sqs_sent_timestamp,4741,73,ok,
