experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260710T135904.281368175Z,baseline-c100,1783691974301,-42,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
reaction-20260710T135904.281368175Z,fair-c100,1783691974439,-28,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
reaction-20260710T135904.281368175Z,baseline-c100,1783691975299,956,first_a_sqs_sent_timestamp,64,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,fair-c100,1783691975326,859,first_a_sqs_sent_timestamp,72,21,3.428571,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691976296,1953,first_a_sqs_sent_timestamp,65,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,fair-c100,1783691976320,1853,first_a_sqs_sent_timestamp,77,79,0.974684,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691977298,2955,first_a_sqs_sent_timestamp,26,0,,false,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,fair-c100,1783691977325,2858,first_a_sqs_sent_timestamp,28,0,,false,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,baseline-c100,1783691978302,3959,first_a_sqs_sent_timestamp,55,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,fair-c100,1783691978329,3862,first_a_sqs_sent_timestamp,87,76,1.144737,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691979302,4959,first_a_sqs_sent_timestamp,43,66,0.651515,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691979327,4860,first_a_sqs_sent_timestamp,76,79,0.962025,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691980298,5955,first_a_sqs_sent_timestamp,45,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,fair-c100,1783691980326,5859,first_a_sqs_sent_timestamp,70,28,2.500000,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691981300,6957,first_a_sqs_sent_timestamp,84,66,1.272727,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691981327,6860,first_a_sqs_sent_timestamp,84,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,baseline-c100,1783691982296,7953,first_a_sqs_sent_timestamp,84,57,1.473684,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691982322,7855,first_a_sqs_sent_timestamp,51,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,baseline-c100,1783691983309,8966,first_a_sqs_sent_timestamp,75,20,3.750000,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691983337,8870,first_a_sqs_sent_timestamp,78,28,2.785714,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691984303,9960,first_a_sqs_sent_timestamp,88,48,1.833333,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691984331,9864,first_a_sqs_sent_timestamp,69,76,0.907895,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691985297,10954,first_a_sqs_sent_timestamp,72,48,1.500000,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691985323,10856,first_a_sqs_sent_timestamp,82,0,,true,false,false,inconsistent_zero_denominator
reaction-20260710T135904.281368175Z,baseline-c100,1783691986297,11954,first_a_sqs_sent_timestamp,79,91,0.868132,true,true,true,ok
reaction-20260710T135904.281368175Z,fair-c100,1783691986322,11855,first_a_sqs_sent_timestamp,95,71,1.338028,true,true,true,ok
reaction-20260710T135904.281368175Z,baseline-c100,1783691987296,12953,first_a_sqs_sent_timestamp,88,91,0.967033,true,true,true,ok
