experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260711T154617.431287445Z,baseline-c100,1783784803451,266,first_a_sqs_sent_timestamp,57,20,2.850000,true,true,true,ok
reaction-20260711T154617.431287445Z,fair-c100,1783784803486,303,first_a_sqs_sent_timestamp,67,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,baseline-c100,1783784804450,1265,first_a_sqs_sent_timestamp,84,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784804482,1299,first_a_sqs_sent_timestamp,71,17,4.176471,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784805456,2271,first_a_sqs_sent_timestamp,33,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784805484,2301,first_a_sqs_sent_timestamp,24,0,,false,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,baseline-c100,1783784806449,3264,first_a_sqs_sent_timestamp,45,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784806477,3294,first_a_sqs_sent_timestamp,53,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,baseline-c100,1783784807457,4272,first_a_sqs_sent_timestamp,46,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784807492,4309,first_a_sqs_sent_timestamp,56,20,2.800000,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784808463,5278,first_a_sqs_sent_timestamp,65,20,3.250000,true,true,true,ok
reaction-20260711T154617.431287445Z,fair-c100,1783784808495,5312,first_a_sqs_sent_timestamp,64,77,0.831169,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784809448,6263,first_a_sqs_sent_timestamp,64,47,1.361702,true,true,true,ok
reaction-20260711T154617.431287445Z,fair-c100,1783784809478,6295,first_a_sqs_sent_timestamp,66,69,0.956522,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784810450,7265,first_a_sqs_sent_timestamp,49,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784810479,7296,first_a_sqs_sent_timestamp,56,77,0.727273,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784811453,8268,first_a_sqs_sent_timestamp,87,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784811486,8303,first_a_sqs_sent_timestamp,82,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,baseline-c100,1783784812450,9265,first_a_sqs_sent_timestamp,85,87,0.977011,true,true,true,ok
reaction-20260711T154617.431287445Z,fair-c100,1783784812512,9329,first_a_sqs_sent_timestamp,92,76,1.210526,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784813451,10266,first_a_sqs_sent_timestamp,93,0,,true,false,false,inconsistent_zero_denominator
reaction-20260711T154617.431287445Z,fair-c100,1783784813480,10297,first_a_sqs_sent_timestamp,91,78,1.166667,true,true,true,ok
reaction-20260711T154617.431287445Z,baseline-c100,1783784814447,11262,first_a_sqs_sent_timestamp,94,87,1.080460,true,true,true,ok
