experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260710T141732.186490574Z,baseline-c100,1783693155216,68823,first_a_sqs_sent_timestamp,96,84,1.142857,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693155243,68948,first_a_sqs_sent_timestamp,95,84,1.130952,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693156216,69823,first_a_sqs_sent_timestamp,99,96,1.031250,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693156247,69952,first_a_sqs_sent_timestamp,95,91,1.043956,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693157218,70825,first_a_sqs_sent_timestamp,85,88,0.965909,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693157250,70955,first_a_sqs_sent_timestamp,92,69,1.333333,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693158220,71827,first_a_sqs_sent_timestamp,85,91,0.934066,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693158250,71955,first_a_sqs_sent_timestamp,95,89,1.067416,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693159221,72828,first_a_sqs_sent_timestamp,90,88,1.022727,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693159252,72957,first_a_sqs_sent_timestamp,73,88,0.829545,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693160215,73822,first_a_sqs_sent_timestamp,74,107,0.691589,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693160244,73949,first_a_sqs_sent_timestamp,99,95,1.042105,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693161213,74820,first_a_sqs_sent_timestamp,80,106,0.754717,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693161244,74949,first_a_sqs_sent_timestamp,79,96,0.822917,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693162227,75834,first_a_sqs_sent_timestamp,83,83,1.000000,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693162275,75980,first_a_sqs_sent_timestamp,100,84,1.190476,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693163219,76826,first_a_sqs_sent_timestamp,96,86,1.116279,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693163249,76954,first_a_sqs_sent_timestamp,99,100,0.990000,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693164216,77823,first_a_sqs_sent_timestamp,88,91,0.967033,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693164244,77949,first_a_sqs_sent_timestamp,83,86,0.965116,true,true,true,ok
