experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:06.224987927Z,1783693086224,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:06.377948278Z,1783693086377,0,21,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:07.218465887Z,1783693087218,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:07.246828673Z,1783693087246,69,36,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:08.217445297Z,1783693088217,0,10,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:08.246434861Z,1783693088246,0,0,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:09.236190712Z,1783693089236,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:09.28939381Z,1783693089289,10875,66,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:10.219668347Z,1783693090219,3362,30,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:10.251507882Z,1783693090251,2106,73,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:11.217703243Z,1783693091217,9997,15,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:11.244890902Z,1783693091244,15135,71,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:12.228404486Z,1783693092228,16430,65,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:12.274621217Z,1783693092274,79,37,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:13.216552058Z,1783693093216,8366,32,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:13.244496011Z,1783693093244,8588,64,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:14.216780321Z,1783693094216,12381,62,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:14.243579191Z,1783693094243,6551,27,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:15.217798676Z,1783693095217,1776,29,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:15.246121989Z,1783693095246,19079,74,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:16.215502605Z,1783693096215,11728,62,ok,
