experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:06.224Z,1783693086224,-169,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:06.377Z,1783693086377,82,first_a_sqs_sent_timestamp,0,21,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:07.218Z,1783693087218,825,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:07.246Z,1783693087246,951,first_a_sqs_sent_timestamp,69,36,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:08.217Z,1783693088217,1824,first_a_sqs_sent_timestamp,0,10,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:08.246Z,1783693088246,1951,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:09.236Z,1783693089236,2843,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:09.289Z,1783693089289,2994,first_a_sqs_sent_timestamp,10875,66,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:10.219Z,1783693090219,3826,first_a_sqs_sent_timestamp,3362,30,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:10.251Z,1783693090251,3956,first_a_sqs_sent_timestamp,2106,73,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:11.217Z,1783693091217,4824,first_a_sqs_sent_timestamp,9997,15,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:11.244Z,1783693091244,4949,first_a_sqs_sent_timestamp,15135,71,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:12.228Z,1783693092228,5835,first_a_sqs_sent_timestamp,16430,65,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:12.274Z,1783693092274,5979,first_a_sqs_sent_timestamp,79,37,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:13.216Z,1783693093216,6823,first_a_sqs_sent_timestamp,8366,32,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:13.244Z,1783693093244,6949,first_a_sqs_sent_timestamp,8588,64,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:14.216Z,1783693094216,7823,first_a_sqs_sent_timestamp,12381,62,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:14.243Z,1783693094243,7948,first_a_sqs_sent_timestamp,6551,27,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:15.217Z,1783693095217,8824,first_a_sqs_sent_timestamp,1776,29,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:15.246Z,1783693095246,8951,first_a_sqs_sent_timestamp,19079,74,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:16.215Z,1783693096215,9822,first_a_sqs_sent_timestamp,11728,62,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:16.242Z,1783693096242,9947,first_a_sqs_sent_timestamp,29794,66,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:17.215Z,1783693097215,10822,first_a_sqs_sent_timestamp,24911,59,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:17.243Z,1783693097243,10948,first_a_sqs_sent_timestamp,13145,31,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:18.219Z,1783693098219,11826,first_a_sqs_sent_timestamp,14914,44,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:18.249Z,1783693098249,11954,first_a_sqs_sent_timestamp,21599,54,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:19.218Z,1783693099218,12825,first_a_sqs_sent_timestamp,25495,57,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:19.248Z,1783693099248,12953,first_a_sqs_sent_timestamp,29736,81,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:20.217Z,1783693100217,13824,first_a_sqs_sent_timestamp,18339,84,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:20.247Z,1783693100247,13952,first_a_sqs_sent_timestamp,28124,71,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:21.257Z,1783693101257,14864,first_a_sqs_sent_timestamp,29705,79,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:21.285Z,1783693101285,14990,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:22.215Z,1783693102215,15822,first_a_sqs_sent_timestamp,27785,69,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:22.243Z,1783693102243,15948,first_a_sqs_sent_timestamp,29665,105,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:23.218Z,1783693103218,16825,first_a_sqs_sent_timestamp,29676,84,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:23.247Z,1783693103247,16952,first_a_sqs_sent_timestamp,28103,69,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:24.213Z,1783693104213,17820,first_a_sqs_sent_timestamp,18956,83,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:24.242Z,1783693104242,17947,first_a_sqs_sent_timestamp,29634,87,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:25.217Z,1783693105217,18824,first_a_sqs_sent_timestamp,29604,81,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:25.244Z,1783693105244,18949,first_a_sqs_sent_timestamp,29699,82,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:26.221Z,1783693106221,19828,first_a_sqs_sent_timestamp,29529,95,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:26.252Z,1783693106252,19957,first_a_sqs_sent_timestamp,29576,88,ok,
reaction-20260710T141732.186490574Z,baseline-c100,2026-07-10T14:18:27.216Z,1783693107216,20823,first_a_sqs_sent_timestamp,29484,90,ok,
reaction-20260710T141732.186490574Z,fair-c100,2026-07-10T14:18:27.245Z,1783693107245,20950,first_a_sqs_sent_timestamp,25731,80,ok,
