experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:33.783609041Z,1783678533783,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:33.952717118Z,1783678533952,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:34.792640732Z,1783678534792,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:34.819424914Z,1783678534819,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:35.78458741Z,1783678535784,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:35.812004512Z,1783678535812,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:36.783314908Z,1783678536783,180,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:36.810838563Z,1783678536810,0,20,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:37.783389684Z,1783678537783,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:37.809908087Z,1783678537809,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:38.782530786Z,1783678538782,4863,85,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:38.811809582Z,1783678538811,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:39.782545082Z,1783678539782,0,20,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:39.809543267Z,1783678539809,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:40.783507402Z,1783678540783,4871,84,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:40.811155319Z,1783678540811,4824,95,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:41.782410672Z,1783678541782,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:41.809260416Z,1783678541809,4850,70,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:42.78560184Z,1783678542785,0,0,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:42.816247787Z,1783678542816,0,20,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:43.787397101Z,1783678543787,4863,85,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:43.815519592Z,1783678543815,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:44.786987332Z,1783678544786,4655,100,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:44.816930951Z,1783678544816,0,0,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:45.785384248Z,1783678545785,4927,93,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:45.814031611Z,1783678545814,4899,60,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:46.7820204Z,1783678546782,4735,97,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:46.809841525Z,1783678546809,4740,75,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:47.783423727Z,1783678547783,4871,84,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:47.810502022Z,1783678547810,4694,81,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:48.787947512Z,1783678548787,4600,82,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:48.814545715Z,1783678548814,4650,80,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:49.785011732Z,1783678549785,4816,86,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:49.814516841Z,1783678549814,4825,100,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:50.787263295Z,1783678550787,4732,88,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:50.815563495Z,1783678550815,4650,84,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:51.781991499Z,1783678551781,4427,97,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:51.810265342Z,1783678551810,4498,101,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:52.783407319Z,1783678552783,4659,102,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:52.814028642Z,1783678552814,4472,80,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:53.785920801Z,1783678553785,4426,101,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:53.814836342Z,1783678553814,4741,80,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:54.782293937Z,1783678554782,4426,101,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:54.808330132Z,1783678554808,4473,69,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:55.78117226Z,1783678555781,4492,79,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:55.807597458Z,1783678555807,4473,73,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:56.783275399Z,1783678556783,4428,100,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:56.811408081Z,1783678556811,4647,80,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:57.781927032Z,1783678557781,4303,83,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:57.807936137Z,1783678557807,4697,90,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:58.781791119Z,1783678558781,4272,95,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:58.808561289Z,1783678558808,4385,78,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:15:59.782476094Z,1783678559782,4369,72,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:15:59.812511164Z,1783678559812,4473,79,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:16:00.783004612Z,1783678560783,4269,98,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:16:00.808804836Z,1783678560808,4232,93,ok,
reaction-20260710T101503.756019711Z,baseline-c100,2026-07-10T10:16:01.786517837Z,1783678561786,4598,89,ok,
reaction-20260710T101503.756019711Z,fair-c100,2026-07-10T10:16:01.814282916Z,1783678561814,4496,103,ok,
