experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798406171,-31,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798406374,16,first_a_sqs_sent_timestamp,3,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798407185,983,first_a_sqs_sent_timestamp,15,29,0.517241,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798407214,856,first_a_sqs_sent_timestamp,18,4,4.500000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798408170,1968,first_a_sqs_sent_timestamp,15,29,0.517241,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798408201,1843,first_a_sqs_sent_timestamp,18,4,4.500000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798409164,2962,first_a_sqs_sent_timestamp,13,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798409192,2834,first_a_sqs_sent_timestamp,14,39,0.358974,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798410166,3964,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798410194,3836,first_a_sqs_sent_timestamp,16,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798411167,4965,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798411197,4839,first_a_sqs_sent_timestamp,17,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798412172,5970,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798412200,5842,first_a_sqs_sent_timestamp,19,39,0.487179,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798413169,6967,first_a_sqs_sent_timestamp,11,29,0.379310,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798413213,6855,first_a_sqs_sent_timestamp,12,19,0.631579,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798414181,7979,first_a_sqs_sent_timestamp,15,15,1.000000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798414211,7853,first_a_sqs_sent_timestamp,19,39,0.487179,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798415177,8975,first_a_sqs_sent_timestamp,11,11,1.000000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798415206,8848,first_a_sqs_sent_timestamp,18,20,0.900000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798416172,9970,first_a_sqs_sent_timestamp,12,4,3.000000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798416201,9843,first_a_sqs_sent_timestamp,15,23,0.652174,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798417166,10964,first_a_sqs_sent_timestamp,18,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798417193,10835,first_a_sqs_sent_timestamp,17,16,1.062500,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798418167,11965,first_a_sqs_sent_timestamp,18,18,1.000000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798418206,11848,first_a_sqs_sent_timestamp,16,4,4.000000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798419168,12966,first_a_sqs_sent_timestamp,18,15,1.200000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798419198,12840,first_a_sqs_sent_timestamp,18,17,1.058824,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798420165,13963,first_a_sqs_sent_timestamp,18,15,1.200000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798420194,13836,first_a_sqs_sent_timestamp,17,39,0.435897,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798421165,14963,first_a_sqs_sent_timestamp,17,18,0.944444,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798421192,14834,first_a_sqs_sent_timestamp,19,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798422169,15967,first_a_sqs_sent_timestamp,18,20,0.900000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798422204,15846,first_a_sqs_sent_timestamp,18,16,1.125000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798423172,16970,first_a_sqs_sent_timestamp,14,18,0.777778,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798423205,16847,first_a_sqs_sent_timestamp,13,16,0.812500,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798424165,17963,first_a_sqs_sent_timestamp,19,11,1.727273,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798424205,17847,first_a_sqs_sent_timestamp,19,20,0.950000,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,baseline-c20,1783798425167,18965,first_a_sqs_sent_timestamp,16,19,0.842105,false,true,false,ok
low-concurrency-20260711T193136.540788972Z,fair-c20,1783798425197,18839,first_a_sqs_sent_timestamp,14,19,0.736842,false,true,false,ok
