experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:26.171Z,1783798406171,-31,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:26.374Z,1783798406374,16,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:27.185Z,1783798407185,983,first_a_sqs_sent_timestamp,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:27.214Z,1783798407214,856,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:28.17Z,1783798408170,1968,first_a_sqs_sent_timestamp,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:28.201Z,1783798408201,1843,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:29.164Z,1783798409164,2962,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:29.192Z,1783798409192,2834,first_a_sqs_sent_timestamp,4965,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:30.166Z,1783798410166,3964,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:30.194Z,1783798410194,3836,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:31.167Z,1783798411167,4965,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:31.197Z,1783798411197,4839,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:32.172Z,1783798412172,5970,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:32.2Z,1783798412200,5842,first_a_sqs_sent_timestamp,4965,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:33.169Z,1783798413169,6967,first_a_sqs_sent_timestamp,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:33.213Z,1783798413213,6855,first_a_sqs_sent_timestamp,4959,19,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:34.181Z,1783798414181,7979,first_a_sqs_sent_timestamp,4967,15,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:34.211Z,1783798414211,7853,first_a_sqs_sent_timestamp,3789,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:35.177Z,1783798415177,8975,first_a_sqs_sent_timestamp,4960,11,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:35.206Z,1783798415206,8848,first_a_sqs_sent_timestamp,4943,20,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:36.172Z,1783798416172,9970,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:36.201Z,1783798416201,9843,first_a_sqs_sent_timestamp,4967,23,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:37.166Z,1783798417166,10964,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:37.193Z,1783798417193,10835,first_a_sqs_sent_timestamp,4932,16,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:38.167Z,1783798418167,11965,first_a_sqs_sent_timestamp,4939,18,ok,
