experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:26.171451985Z,1783798406171,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:26.374819552Z,1783798406374,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:27.185975795Z,1783798407185,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:27.214610328Z,1783798407214,0,4,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:28.170743117Z,1783798408170,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:28.201647846Z,1783798408201,0,4,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:29.164705783Z,1783798409164,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:29.192057312Z,1783798409192,4965,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:30.166201331Z,1783798410166,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:30.194100238Z,1783798410194,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:31.167164943Z,1783798411167,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:31.19727529Z,1783798411197,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:32.172446853Z,1783798412172,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:32.200745961Z,1783798412200,4965,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:33.169948244Z,1783798413169,3723,29,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:33.213328125Z,1783798413213,4959,19,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:34.181466601Z,1783798414181,4967,15,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:34.211946364Z,1783798414211,3789,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:35.177670936Z,1783798415177,4960,11,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:35.206965304Z,1783798415206,4943,20,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:36.172282782Z,1783798416172,0,4,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:36.20122672Z,1783798416201,4967,23,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:37.166055979Z,1783798417166,0,0,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:37.193801686Z,1783798417193,4932,16,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:38.16736837Z,1783798418167,4939,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:38.20668753Z,1783798418206,0,4,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:39.168330594Z,1783798419168,4967,15,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:39.198259759Z,1783798419198,4920,17,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:40.165645856Z,1783798420165,4967,15,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:40.194501821Z,1783798420194,4965,39,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:41.165810286Z,1783798421165,4920,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:41.192528091Z,1783798421192,0,0,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:42.169604084Z,1783798422169,4973,20,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:42.20494023Z,1783798422204,4935,16,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:43.17260402Z,1783798423172,4920,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:43.205311729Z,1783798423205,4907,16,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:44.165199524Z,1783798424165,4960,11,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:44.205367905Z,1783798424205,4962,20,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:45.167223694Z,1783798425167,4924,19,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:45.197033097Z,1783798425197,4890,19,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:46.16735513Z,1783798426167,4906,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:46.213925072Z,1783798426213,4876,22,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:47.164331331Z,1783798427164,4891,19,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:47.19171532Z,1783798427191,4923,18,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:48.16907856Z,1783798428169,4920,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:48.201158697Z,1783798428201,4895,23,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:49.17130753Z,1783798429171,4890,16,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:49.199332814Z,1783798429199,4909,18,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:50.17157888Z,1783798430171,4892,20,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:50.222329384Z,1783798430222,4943,20,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:51.172885317Z,1783798431172,4939,18,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:51.206421186Z,1783798431206,4855,13,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:52.166829324Z,1783798432166,4891,17,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:52.194656724Z,1783798432194,4841,18,ok,
low-concurrency-20260711T193136.540788972Z,baseline-c20,2026-07-11T19:33:53.173045054Z,1783798433173,4948,14,ok,
low-concurrency-20260711T193136.540788972Z,fair-c20,2026-07-11T19:33:53.204201173Z,1783798433204,4856,16,ok,
